Timestamp,Column
3/28/2014 10:27:52,Massimo Vignelli
3/28/2014 10:28:24,Massimo Vignelli
3/28/2014 10:29:09,Dieter Rams
3/28/2014 10:29:45,Massimo Vignelli
3/28/2014 10:30:14,Dieter Rams
3/28/2014 10:30:33,Dieter Rams
3/28/2014 10:31:32,Dieter Rams
3/28/2014 10:31:39,Dieter Rams
3/28/2014 10:32:31,Dieter Rams
3/28/2014 10:33:39,Massimo Vignelli
3/28/2014 10:35:10,Dieter Rams
3/28/2014 10:35:15,Massimo Vignelli
3/28/2014 10:35:45,Dieter Rams
3/28/2014 10:35:47,Dieter Rams
3/28/2014 10:35:50,Dieter Rams
3/28/2014 10:37:11,Dieter Rams
3/28/2014 10:37:12,Dieter Rams
3/28/2014 10:38:27,Dieter Rams
3/28/2014 10:39:38,Dieter Rams
3/28/2014 10:40:31,Massimo Vignelli
3/28/2014 10:40:35,Dieter Rams
3/28/2014 10:41:33,Massimo Vignelli
3/28/2014 10:41:41,Dieter Rams
3/28/2014 10:41:42,Dieter Rams
3/28/2014 10:41:43,Dieter Rams
3/28/2014 10:41:53,Dieter Rams
3/28/2014 10:42:09,Dieter Rams
3/28/2014 10:42:44,Dieter Rams
3/28/2014 10:42:57,Dieter Rams
3/28/2014 10:44:09,Massimo Vignelli
3/28/2014 10:45:18,Massimo Vignelli
3/28/2014 10:45:23,Massimo Vignelli
3/28/2014 10:45:50,Massimo Vignelli
3/28/2014 10:46:04,Dieter Rams
3/28/2014 10:47:17,Dieter Rams
3/28/2014 10:47:49,Dieter Rams
3/28/2014 10:47:50,Dieter Rams
3/28/2014 10:49:42,Dieter Rams
3/28/2014 10:49:46,Dieter Rams
3/28/2014 10:50:16,Massimo Vignelli
3/28/2014 10:50:24,Dieter Rams
3/28/2014 10:50:41,Massimo Vignelli
3/28/2014 10:52:24,Dieter Rams
3/28/2014 10:52:36,Dieter Rams
3/28/2014 10:52:56,Massimo Vignelli
3/28/2014 10:53:17,Dieter Rams
3/28/2014 10:53:19,Dieter Rams
3/28/2014 10:54:25,Massimo Vignelli
3/28/2014 10:55:02,Dieter Rams
3/28/2014 10:55:05,Massimo Vignelli
3/28/2014 10:55:59,Dieter Rams
3/28/2014 10:59:32,Massimo Vignelli
3/28/2014 11:01:31,Dieter Rams
3/28/2014 11:02:09,Dieter Rams
3/28/2014 11:02:57,Dieter Rams
3/28/2014 11:04:57,Massimo Vignelli
3/28/2014 11:05:21,Massimo Vignelli
3/28/2014 11:05:25,Dieter Rams
3/28/2014 11:06:10,Dieter Rams
3/28/2014 11:06:56,Massimo Vignelli
3/28/2014 11:07:00,Massimo Vignelli
3/28/2014 11:09:12,Massimo Vignelli
3/28/2014 11:09:17,Dieter Rams
3/28/2014 11:10:20,Dieter Rams
3/28/2014 11:10:42,Dieter Rams
3/28/2014 11:12:03,Massimo Vignelli
3/28/2014 11:14:37,Massimo Vignelli
3/28/2014 11:14:37,Massimo Vignelli
3/28/2014 11:14:46,Massimo Vignelli
3/28/2014 11:14:53,Massimo Vignelli
3/28/2014 11:15:21,Massimo Vignelli
3/28/2014 11:16:07,Dieter Rams
3/28/2014 11:17:23,Massimo Vignelli
3/28/2014 11:18:39,Dieter Rams
3/28/2014 11:20:46,Dieter Rams
3/28/2014 11:20:50,Massimo Vignelli
3/28/2014 11:21:50,Dieter Rams
3/28/2014 11:22:46,Dieter Rams
3/28/2014 11:23:20,Dieter Rams
3/28/2014 11:23:21,Dieter Rams
3/28/2014 11:23:54,Dieter Rams
3/28/2014 11:24:36,Massimo Vignelli
3/28/2014 11:24:55,Dieter Rams
3/28/2014 11:25:57,Massimo Vignelli
3/28/2014 11:26:03,Dieter Rams
3/28/2014 11:26:09,Dieter Rams
3/28/2014 11:26:29,Massimo Vignelli
3/28/2014 11:28:15,Dieter Rams
3/28/2014 11:29:02,Dieter Rams
3/28/2014 11:29:02,Massimo Vignelli
3/28/2014 11:29:04,Dieter Rams
3/28/2014 11:29:10,Massimo Vignelli
3/28/2014 11:29:40,Dieter Rams
3/28/2014 11:29:43,Dieter Rams
3/28/2014 11:29:44,Massimo Vignelli
3/28/2014 11:29:54,Dieter Rams
3/28/2014 11:35:30,Dieter Rams
3/28/2014 11:38:24,Dieter Rams
3/28/2014 11:40:05,Dieter Rams
3/28/2014 11:40:11,Dieter Rams
3/28/2014 11:40:54,Dieter Rams
3/28/2014 11:42:07,Dieter Rams
3/28/2014 11:44:31,Dieter Rams
3/28/2014 11:44:44,Massimo Vignelli
3/28/2014 11:44:58,Dieter Rams
3/28/2014 11:47:04,Dieter Rams
3/28/2014 11:47:26,Dieter Rams
3/28/2014 11:48:14,Dieter Rams
3/28/2014 11:48:43,Dieter Rams
3/28/2014 11:49:08,Dieter Rams
3/28/2014 11:53:05,Massimo Vignelli
3/28/2014 11:53:15,Dieter Rams
3/28/2014 11:53:38,Dieter Rams
3/28/2014 11:56:03,Massimo Vignelli
3/28/2014 11:56:46,Dieter Rams
3/28/2014 11:58:56,Dieter Rams
3/28/2014 11:59:13,Dieter Rams
3/28/2014 11:59:48,Dieter Rams
3/28/2014 12:00:14,Dieter Rams
3/28/2014 12:02:10,Massimo Vignelli
3/28/2014 12:03:19,Dieter Rams
3/28/2014 12:05:36,Dieter Rams
3/28/2014 12:06:42,Massimo Vignelli
3/28/2014 12:07:03,Dieter Rams
3/28/2014 12:07:18,Dieter Rams
3/28/2014 12:08:02,Massimo Vignelli
3/28/2014 12:08:08,Dieter Rams
3/28/2014 12:08:12,Massimo Vignelli
3/28/2014 12:10:30,Massimo Vignelli
3/28/2014 12:10:32,Massimo Vignelli
3/28/2014 12:10:43,Dieter Rams
3/28/2014 12:12:13,Dieter Rams
3/28/2014 12:15:18,Massimo Vignelli
3/28/2014 12:15:21,Dieter Rams
3/28/2014 12:15:24,Dieter Rams
3/28/2014 12:16:18,Dieter Rams
3/28/2014 12:16:34,Dieter Rams
3/28/2014 12:17:12,Dieter Rams
3/28/2014 12:19:34,Massimo Vignelli
3/28/2014 12:22:33,Dieter Rams
3/28/2014 12:22:43,Dieter Rams
3/28/2014 12:24:13,Dieter Rams
3/28/2014 12:29:25,Massimo Vignelli
3/28/2014 12:29:32,Dieter Rams
3/28/2014 12:30:22,Massimo Vignelli
3/28/2014 12:31:37,Massimo Vignelli
3/28/2014 12:33:30,Dieter Rams
3/28/2014 12:33:38,Dieter Rams
3/28/2014 12:34:31,Dieter Rams
3/28/2014 12:34:37,Dieter Rams
3/28/2014 12:35:32,Dieter Rams
3/28/2014 12:41:54,Dieter Rams
